quantidade_avaliacoes,quantidade_salarios,quantidade_vagas,quantidade_entrevistas,quantidade_beneficios,avaliacao_geral,quantidade_avaliacoes2,avaliacao_cultura,avaliacao_oportunidades,avaliacao_qualidade_vida
28.405,4.141,1,95,22,"4,7",96%,"4,4","4,1","4,4"
21.313,2.125,57,0,0,"4,6",96%,"4,3","4,0","4,3"
